Object ID,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range) - Margin of Error,"Median Household Income in past 12 months, Householder under 25 years","Median Household Income in past 12 months, Householder under 25 years - Margin of Error","Median Household Income in past 12 months, Householder 25 to 44 years","Median Household Income in past 12 months, Householder 25 to 44 years - Margin of Error","Median Household Income in past 12 months, Householder 45 to 64 years","Median Household Income in past 12 months, Householder 45 to 64 years - Margin of Error","Median Household Income in past 12 months, Householder 65 years and over","Median Household Income in past 12 months, Householder 65 years and over - Margin of Error","Median Household Income in past 12 months, Black or African American Alone Householder","Median Household Income in past 12 months, Black or African American Alone Householder - Margin of Error","Median Household Income in past 12 months, American Indian and Alaska Native Alone Householder","Median Household Income in past 12 months, American Indian and Alaska Native Alone Householder - Margin of Error","Median Household Income in past 12 months, Asian Alone Householder","Median Household Income in past 12 months, Asian Alone Householder - Margin of Error","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Alone Householder","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Alone Householder - Margin of Error","Median Household Income in past 12 months, Some Other Race Alone Householder","Median Household Income in past 12 months, Some Other Race Alone Householder - Margin of Error","Median Household Income in past 12 months, Two or More Races Householder","Median Household Income in past 12 months, Two or More Races Householder - Margin of Error","Median Household Income in past 12 months, White alone, not Hispanic Householder","Median Household Income in past 12 months, White alone, not Hispanic Householder - Margin of Error","Median Household Income in past 12 months, Hispanic or Latino Householder","Median Household Income in past 12 months, Hispanic or Latino Householder - Margin of Error",Total Households,Total Households - Margin of Error,Households with any self-employment income in past 12 months,Households with any self-employment income in past 12 months - Margin of Error,Households with no self-employment income in past 12 months,Households with no self-employment income in past 12 months - Margin of Error,Percent of households with any self-employment income,Percent of households with any self-employment income - Margin of Error,Shape__Area,Shape__Length,Place Name,Place FIPS
1,39035101101,305989,0,Census Tract 1011.01,Ohio,Cuyahoga County,31929,6179,43348,25606,32176,6952,27292,25575,31513,15366,23958,13063,0,0,0,0,0,0,46083,20803,33529,21871,41645,14607,0,0,993,158,45,31,948,162,4.5,3.03743957423662,545643.64453125,3535.0687252026,Cleveland city,16000
2,39035101102,1323024,937321,Census Tract 1011.02,Ohio,Cuyahoga County,54711,9833,47833,37094,54906,14088,65368,39366,63235,49456,0,0,0,0,0,0,0,0,0,0,0,0,58333,11625,0,0,2629,392,252,147,2377,389,9.6,5.40572984231927,2359570.859375,7227.77122911553,Cleveland city,16000
3,39035101300,626575,0,Census Tract 1013,Ohio,Cuyahoga County,34699,8709,27417,24948,58398,15596,33068,18041,18914,3451,27391,22316,0,0,0,0,0,0,10347,6521,0,0,38929,15246,19554,8150,963,117,112,50,851,115,11.6,4.99613173607109,1117273.4921875,4867.05180576445,Cleveland city,16000
4,39035101400,1278605,0,Census Tract 1014,Ohio,Cuyahoga County,33452,7427,0,0,21595,16966,52917,16695,28578,3562,0,0,0,0,0,0,0,0,0,0,38102,4235,37593,6807,34300,12583,704,95,72,52,632,92,10.2,7.25628622386012,2279251.34765625,6703.94783891451,Cleveland city,16000
5,39035101501,490532,0,Census Tract 1015.01,Ohio,Cuyahoga County,25234,5967,28047,3046,22347,10405,0,0,24500,8266,0,0,0,0,49375,31290,0,0,73229,72895,0,0,27000,7119,53393,39309,855,95,79,44,776,101,9.2,5.04275433914587,874530.70703125,4693.30925911757,Cleveland city,16000
6,39035101603,657700,0,Census Tract 1016.03,Ohio,Cuyahoga County,31738,8272,0,0,29538,7153,39353,31776,32300,12648,0,0,0,0,0,0,0,0,18313,14573,47692,33999,37965,9587,31159,15326,839,184,62,60,777,193,7.4,6.96531695124959,1172451.0703125,6233.02701643482,Cleveland city,16000
7,39035101700,704442,0,Census Tract 1017,Ohio,Cuyahoga County,0,0,2499,0,58698,25238,0,0,0,0,2499,0,0,0,0,0,0,0,0,0,46515,44970,0,0,46212,33618,1331,436,21,26,1310,439,1.6,1.88380681320061,1255945.9296875,5623.32299082796,Cleveland city,16000
8,39035101800,713778,0,Census Tract 1018,Ohio,Cuyahoga County,39615,27573,0,0,54310,19060,18750,11261,17386,13641,0,0,0,0,0,0,0,0,0,0,23698,691,51506,12964,0,0,886,174,78,59,808,163,8.8,6.4307845449497,1272620.48046875,5113.78039864936,Cleveland city,16000
9,39035101901,505170,0,Census Tract 1019.01,Ohio,Cuyahoga County,43320,9968,0,0,39306,25300,55296,17144,37188,23890,18646,17712,0,0,0,0,0,0,55658,54504,0,0,41500,10098,56250,25017,519,102,41,26,478,102,7.9,4.76298007140447,900699.5703125,4543.17312230853,Cleveland city,16000
10,39035102101,683352,0,Census Tract 1021.01,Ohio,Cuyahoga County,34825,11964,0,0,34325,7194,49875,21219,35764,21742,0,0,0,0,0,0,0,0,0,0,34595,18189,44000,16526,0,0,1383,123,45,41,1338,124,3.3,2.95041206251443,1217758.49609375,4525.74109633924,Cleveland city,16000
11,39035102102,823034,0,Census Tract 1021.02,Ohio,Cuyahoga County,51115,11658,0,0,34957,14208,53227,7676,52955,11281,52906,36980,0,0,61528,20806,0,0,0,0,91316,1564,44044,14726,53362,19587,1159,153,142,84,1017,168,12.3,7.06485476492633,1466303.8046875,5714.64866802805,Cleveland city,16000
12,39035102200,889240,0,Census Tract 1022,Ohio,Cuyahoga County,47677,5364,0,0,48446,5808,47019,12436,44688,26171,47925,25664,0,0,26289,2560,0,0,0,0,83295,12512,49107,19674,43750,15033,1284,198,149,106,1135,203,11.6,8.05917641632911,1584544.1015625,6908.76471712416,Cleveland city,16000
13,39035102300,454665,0,Census Tract 1023,Ohio,Cuyahoga County,34441,7215,0,0,33258,7033,41226,7639,29457,10862,32050,13833,0,0,31016,1510,0,0,0,0,48250,27409,41667,12595,33250,14140,823,173,121,65,702,177,14.7,7.26815264994996,810279.8515625,4752.08181669023,Cleveland city,16000
14,39035102401,518099,0,Census Tract 1024.01,Ohio,Cuyahoga County,35357,10251,0,0,39615,23707,35250,10158,0,0,0,0,0,0,0,0,0,0,87870,73793,32639,15387,38942,17207,35000,16383,698,126,72,80,626,108,10.3,11.3090480404263,923309.53515625,4917.52326934043,Cleveland city,16000
15,39035102402,699388,0,Census Tract 1024.02,Ohio,Cuyahoga County,31042,14320,0,0,24802,4532,51550,27274,64415,45009,0,0,0,0,0,0,0,0,63963,20363,63065,48180,24728,12486,63429,1140,1151,188,91,82,1060,179,7.9,7.00622382222685,1246612.00390625,5387.58141823775,Cleveland city,16000
16,39035102700,1991456,0,Census Tract 1027,Ohio,Cuyahoga County,28414,9238,0,0,36436,22881,28487,6158,19107,7028,16775,6352,0,0,0,0,0,0,0,0,0,0,28729,4887,40779,38517,1499,218,264,161,1235,183,17.6,10.4306301803587,3549711.296875,8395.29514686229,Cleveland city,16000
17,39035102800,451380,0,Census Tract 1028,Ohio,Cuyahoga County,35625,16082,0,0,36964,11225,0,0,48750,23446,0,0,0,0,0,0,0,0,44453,14733,30769,21567,41875,34003,35039,17834,608,141,12,18,596,141,2,2.92492990031513,804513.4609375,3661.62394136378,Cleveland city,16000
18,39035102900,514701,0,Census Tract 1029,Ohio,Cuyahoga County,34087,11072,0,0,35568,18344,37167,12929,18393,8438,26458,12209,0,0,0,0,0,0,18250,6894,36490,11583,40938,40767,33828,10797,647,85,56,32,591,88,8.7,4.8134159675058,917407.69921875,4299.97064099914,Cleveland city,16000
19,39035103300,499678,69937,Census Tract 1033,Ohio,Cuyahoga County,0,0,0,0,66960,13985,11727,6170,11511,619,10861,2352,0,0,59271,56143,0,0,0,0,8708,6450,78639,21506,0,0,1352,232,52,53,1300,243,3.8,3.86416094915301,891388.59375,4355.19635579507,Cleveland city,16000
