Object ID,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Population,Total Population - Margin of Error,"White alone, not Hispanic or Latino Population","White alone, not Hispanic or Latino Population - Margin of Error","Black or African American Alone, Not Hispanic or Latino Population","Black or African American Alone, Not Hispanic or Latino Population - Margin of Error","American Indian and Alaska Native Alone, Not Hispanic or Latino Population","American Indian and Alaska Native Alone, Not Hispanic or Latino Population - Margin of Error","Asian Alone, Not Hispanic or Latino Population","Asian Alone, Not Hispanic or Latino Population - Margin of Error","Native Hawaiian and Other Pacific Islander Alone, Not Hispanic or Latino Population","Native Hawaiian and Other Pacific Islander Alone, Not Hispanic or Latino Population - Margin of Error","Some Other Race Alone, Not Hispanic or Latino Population","Some Other Race Alone, Not Hispanic or Latino Population - Margin of Error","Two or More Races, Not Hispanic or Latino Population","Two or More Races, Not Hispanic or Latino Population - Margin of Error",Hispanic or Latino Population,Hispanic or Latino Population - Margin of Error,"Percent of Population that is White alone, not Hispanic or Latino","Percent of Population that is White alone, not Hispanic or Latino - Margin of Error","Percent of Population that is Black or African American Alone, Not Hispanic or Latino","Percent of Population that is Black or African American Alone, Not Hispanic or Latino - Margin of Error","Percent of Population that is American Indian and Alaska Native Alone, Not Hispanic or Latino","Percent of Population that is American Indian and Alaska Native Alone, Not Hispanic or Latino - Margin of Error","Percent of Population that is Asian Alone, Not Hispanic or Latino","Percent of Population that is Asian Alone, Not Hispanic or Latino - Margin of Error","Percent of Population that is Native Hawaiian and Other Pacific Islander Alone, Not Hispanic or Latino","Percent of Population that is Native Hawaiian and Other Pacific Islander Alone, Not Hispanic or Latino - Margin of Error","Percent of Population that is Some Other Race Alone, Not Hispanic or Latino","Percent of Population that is Some Other Race Alone, Not Hispanic or Latino - Margin of Error","Percent of Population that is Two or More Races, Not Hispanic or Latino","Percent of Population that is Two or More Races, Not Hispanic or Latino - Margin of Error",Percent of Population that is Hispanic or Latino,Percent of Population that is Hispanic or Latino - Margin of Error,Population that is not Hispanic or Latino,Population that is not Hispanic or Latino - Margin of Error,"Two races including some other race, not Hispanic or Latino","Two races including some other race, not Hispanic or Latino - Margin of Error","Two races excluding some other race, and three or more races, not Hispanic or Latino","Two races excluding some other race, and three or more races, not Hispanic or Latino - Margin of Error","White alone, Hispanic or Latino","White alone, Hispanic or Latino - Margin of Error","Black or African American alone, Hispanic or Latino","Black or African American alone, Hispanic or Latino - Margin of Error","American Indian and Alaska Native alone, Hispanic or Latino","American Indian and Alaska Native alone, Hispanic or Latino - Margin of Error","Asian alone, Hispanic or Latino","Asian alone, Hispanic or Latino - Margin of Error","Native Hawaiian and Other Pacific Islander alone, Hispanic or Latino","Native Hawaiian and Other Pacific Islander alone, Hispanic or Latino - Margin of Error","Some other race alone, Hispanic or Latino","Some other race alone, Hispanic or Latino - Margin of Error","Two or more races, Hispanic or Latino","Two or more races, Hispanic or Latino - Margin of Error","Two races including some other race, Hispanic or Latino","Two races including some other race, Hispanic or Latino - Margin of Error","Two races excluding some other race, and three or more races, Hispanic or Latino","Two races excluding some other race, and three or more races, Hispanic or Latino - Margin of Error",Shape__Area,Shape__Length,Place Name,Place FIPS
1,39035101101,305989,0,Census Tract 1011.01,Ohio,Cuyahoga County,2072,431,1027,269,525,242,7,12,20,24,0,12,8,14,187,149,298,171,49.6,7.88972694589364,25.3,10.4227028506863,0.3,0.574871231208265,1,1.14076623684322,0,0.579150579150579,0.4,0.670885522356626,9,6.94174723696118,14.4,7.69156581406037,1774,378,0,12,187,149,68,64,17,23,0,12,0,12,0,12,100,59,113,126,113,126,0,12,545643.64453125,3535.0687252026,Cleveland city,16000
2,39035101102,1323024,937321,Census Tract 1011.02,Ohio,Cuyahoga County,4298,660,3243,527,357,222,6,11,59,57,0,12,0,12,270,267,363,227,75.5,4.01176186287238,8.3,5.00523007847467,0.1,0.255033634939928,1.4,1.30933824540037,0,0.27919962773383,0,0.27919962773383,6.3,6.13683586339387,8.4,5.11981281201574,3935,634,0,12,270,267,112,111,0,12,0,12,44,70,41,65,16,26,150,147,150,147,0,12,2359570.859375,7227.77122911553,Cleveland city,16000
3,39035101300,626575,0,Census Tract 1013,Ohio,Cuyahoga County,1652,213,919,147,481,182,0,12,49,65,0,12,12,18,22,18,169,106,55.6,5.26630968184966,29.1,10.3576050562468,0,0.726392251815981,3,3.91599493738961,0,0.726392251815981,0.7,1.08555570017088,1.3,1.07597412924475,10.2,6.27943064844723,1483,185,7,10,15,14,14,16,20,22,10,13,0,12,0,12,83,81,42,49,42,49,0,12,1117273.4921875,4867.05180576445,Cleveland city,16000
4,39035101400,1278605,0,Census Tract 1014,Ohio,Cuyahoga County,1711,322,713,176,515,273,13,20,68,57,0,12,0,12,13,20,389,139,41.7,6.65638365289068,30.1,14.9162260651577,0.8,1.16012853209344,4,3.24633916053953,0,0.701344243132671,0,0.701344243132671,0.8,1.16012853209344,22.7,6.90587308647925,1322,318,0,12,13,20,64,48,45,38,0,12,0,12,0,12,88,51,192,143,181,142,11,17,2279251.34765625,6703.94783891451,Cleveland city,16000
5,39035101501,490532,0,Census Tract 1015.01,Ohio,Cuyahoga County,2021,284,966,240,376,221,10,13,58,49,0,12,0,12,165,125,446,216,47.8,9.79323643256589,18.6,10.6180525301283,0.5,0.639476809389396,2.9,2.39076669182974,0,0.593765462642256,0,0.593765462642256,8.2,6.07771964374944,22.1,10.2279798472663,1575,298,66,89,99,79,123,114,41,51,0,12,0,12,0,12,162,98,120,136,52,77,68,106,874530.70703125,4693.30925911757,Cleveland city,16000
6,39035101603,657700,0,Census Tract 1016.03,Ohio,Cuyahoga County,2160,376,1061,218,416,244,0,12,0,12,0,12,0,12,153,86,530,256,49.1,5.36171201803814,19.3,10.7873444753654,0,0.555555555555556,0,0.555555555555556,0,0.555555555555556,0,0.555555555555556,7.1,3.78574231794524,24.5,11.0554381741369,1630,307,4,6,149,88,82,65,0,12,0,12,0,12,0,12,302,244,146,107,146,107,0,12,1172451.0703125,6233.02701643482,Cleveland city,16000
7,39035101700,704442,0,Census Tract 1017,Ohio,Cuyahoga County,2852,609,940,260,1161,548,0,12,0,12,0,12,0,12,93,75,658,255,33,5.79449733438124,40.7,17.1358910098032,0,0.420757363253857,0,0.420757363253857,0,0.420757363253857,0,0.420757363253857,3.3,2.53587341414164,23.1,7.46137566768925,2194,558,0,12,93,75,17,25,59,65,25,40,0,12,0,12,31,58,526,244,388,204,138,99,1255945.9296875,5623.32299082796,Cleveland city,16000
8,39035101800,713778,0,Census Tract 1018,Ohio,Cuyahoga County,2221,356,1369,299,391,160,0,12,21,34,0,12,0,12,87,90,353,173,61.6,9.1445178582574,17.6,6.62830225840503,0,0.540297163439892,0.9,1.52332136997253,0,0.540297163439892,0,0.540297163439892,3.9,4.00329021565379,15.9,7.3608960282828,1868,312,0,12,87,90,83,73,0,12,0,12,0,12,0,12,194,148,76,68,13,26,63,67,1272620.48046875,5113.78039864936,Cleveland city,16000
9,39035101901,505170,0,Census Tract 1019.01,Ohio,Cuyahoga County,1327,302,767,209,119,88,0,12,136,163,0,12,7,11,64,80,234,160,57.8,8.66179883158378,9,6.30965132713492,0,0.904295403165034,10.2,12.0598703224567,0,0.904295403165034,0.5,0.820198289290198,4.8,5.92787661119545,17.6,11.3698181751944,1093,267,0,12,64,80,58,68,52,84,0,12,0,12,0,12,124,123,0,12,0,12,0,12,900699.5703125,4543.17312230853,Cleveland city,16000
10,39035102101,683352,0,Census Tract 1021.01,Ohio,Cuyahoga County,3367,449,1059,233,855,346,0,12,96,94,0,12,8,13,375,205,974,425,31.5,5.50418064149831,25.4,9.70223830407142,0,0.356400356400356,2.9,2.76579066225837,0,0.356400356400356,0.2,0.384798110235407,11.1,5.90457635879992,28.9,12.018594712029,2393,432,27,44,348,199,260,136,25,33,0,12,0,12,0,12,509,345,180,157,163,153,17,28,1217758.49609375,4525.74109633924,Cleveland city,16000
